,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
2343,Troyes,Ligue 1 Uber Eats,FRA,Forward,"199,000",18,32,0,32
2344,Spezia,Serie A,POR,Defender,"196,000",24,110,0,110
2345,AJ Auxerre,Ligue 1 Uber Eats,MLI,Forward,"193,000",22,39,5,44
2346,Estoril Praia,Primiera Liga,ESP,Forward,"193,000",22,78,0,78
2347,Valladolid,La Liga,ESP,Midfilder,"192,000",22,122,0,122
2348,MRT,Primiera Liga,VEN,Forward,"192,000",24,97,0,97
2349,Reims,Ligue 1 Uber Eats,FRA,Goalkeeper,"191,000",26,93,0,93
2350,Benfica,Primiera Liga,FRA,Defender,"191,000",19,4,0,4
2351,Girona,La Liga,ESP,Goalkeeper,"190,000",34,399,0,399
2352,Valladolid,La Liga,ESP,Defender,"190,000",26,253,0,253
2353,Girona,La Liga,ESP,Defender,"190,000",31,332,0,332
2354,Cremonese,Serie A,SEN,Goalkeeper,"190,000",25,47,0,47
2355,Toulouse FC,Ligue 1 Uber Eats,SWE,Defender,"188,000",21,23,0,23
2356,SV Werder,Bundesliga,GER,Forward,"187,000",20,43,0,43
2357,AJ Auxerre,Ligue 1 Uber Eats,GUF,Goalkeeper,"187,000",29,136,28,164
2358,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,"187,000",19,10,0,10
2359,FC Lorient,Ligue 1 Uber Eats,FRA,Forward,"187,000",20,25,0,25
2360,AJ Auxerre,Ligue 1 Uber Eats,MAD,Defender,"187,000",25,185,20,205
2361,Toulouse FC,Ligue 1 Uber Eats,GRE,Midfilder,"187,000",22,43,0,43
2362,Real San Sebastian,La Liga,ESP,Forward,"186,000",20,75,0,75
2363,BRG,Primiera Liga,SWE,Defender,"186,000",19,50,0,50
2364,VTSC,Primiera Liga,BRA,Forward,"186,000",25,93,0,93
2365,Casa Pia,Primiera Liga,POR,Midfilder,"186,000",22,80,0,80
2366,FC Nantes,Ligue 1 Uber Eats,SVN,Goalkeeper,"183,000",34,184,0,184
2367,Barcelona,La Liga,MEX,Defender,"183,000",21,100,3,103
2368,Chelsea,Premier League,ENG,Forward,"182,000",19,0,0,0
2369,Aston Villa,Premier League,ENG,Defender,"182,000",19,51,0,51
2370,Chelsea,Premier League,ENG,Defender,"182,000",18,0,0,0
2371,Chelsea,Premier League,NED,Defender,"182,000",22,51,0,51
2372,Chelsea,Premier League,ENG,Defender,"182,000",18,0,0,0
2373,Chelsea,Premier League,ENG,Defender,"182,000",20,0,0,0
2374,Udinese,Serie A,IRL,Defender,"181,000",20,40,0,40
2375,Cadiz,La Liga,ESP,Defender,"181,000",22,57,0,57
2376,Salento,Serie A,DEN,Midfilder,"181,000",23,129,0,129
2377,Santa Clara,Primiera Liga,PAR,Forward,"181,000",27,177,0,177
2378,Almeria,La Liga,ESP,Defender,"179,000",30,363,0,363
2379,1. FC Koln,Bundesliga,GER,Midfilder,"179,000",23,98,0,98
2380,FC Nantes,Ligue 1 Uber Eats,FRA,Goalkeeper,"179,000",26,61,0,61
2381,Estoril Praia,Primiera Liga,POR,Midfilder,"179,000",26,207,0,207
2382,Brest,Ligue 1 Uber Eats,SEN,Defender,"179,000",22,78,0,78
2383,Reims,Ligue 1 Uber Eats,BEL,Defender,"179,000",24,56,0,56
2384,Verona,Serie A,BEL,Forward,"179,000",22,89,0,89
2385,Spezia,Serie A,SWE,Defender,"179,000",22,81,0,81
2386,1. FC Koln,Bundesliga,LUX,Midfilder,"179,000",21,60,6,66
2387,Hoffenheim,Bundesliga,GER,Forward,"179,000",20,34,0,34
2388,Barcelona,La Liga,ESP,Defender,"179,000",18,24,0,24
2389,Barcelona,La Liga,ESP,Midfilder,"179,000",19,56,0,56
2390,Girona,La Liga,ESP,Defender,"178,000",24,164,0,164
2391,MRT,Primiera Liga,MOZ,Defender,"177,000",34,269,63,332
2392,VTSC,Primiera Liga,ANG,Defender,"177,000",29,184,4,188
2393,VTSC,Primiera Liga,VEN,Defender,"177,000",29,190,31,221
2394,Cadiz,La Liga,ESP,Goalkeeper,"176,000",28,131,0,131
2395,Cadiz,La Liga,SEN,Defender,"174,000",24,71,0,71
2396,Toulouse FC,Ligue 1 Uber Eats,AUS,Midfilder,"174,000",23,106,3,109
2397,SC Freiburg,Bundesliga,NED,Forward,"173,000",28,248,0,248
2398,Famalicao,Primiera Liga,POR,Defender,"173,000",23,51,0,51
2399,AJ Auxerre,Ligue 1 Uber Eats,FRA,Midfilder,"172,000",26,153,0,153
2400,Salernitana,Serie A,ITA,Defender,"172,000",27,203,0,203
2401,Mainz 05,Bundesliga,GER,Forward,"172,000",18,5,0,5
2402,VfL Wolfsburg,Bundesliga,GER,Defender,"172,000",18,0,0,0
2403,VfL Wolfsburg,Bundesliga,GER,Goalkeeper,"172,000",26,35,0,35
2404,VfL Bochum,Bundesliga,GHA,Midfilder,"172,000",28,277,3,280
2405,Clermont,Ligue 1 Uber Eats,ANG,Defender,"171,000",29,257,2,259
2406,PTM,Primiera Liga,COL,Defender,"171,000",20,28,0,28
2407,P. Ferreira,Primiera Liga,ARG,Midfilder,"170,000",34,339,19,358
2408,Rio Ave,Primiera Liga,ESP,Midfilder,"169,000",22,68,0,68
2409,Espanyol,La Liga,ESP,Midfilder,"169,000",21,108,0,108
2410,Estoril Praia,Primiera Liga,POR,Midfilder,"169,000",27,202,0,202
2411,A. Bilbao,La Liga,ESP,Midfilder,"169,000",23,136,0,136
2412,RB Leipzig,Bundesliga,GER,Defender,"168,000",18,0,0,0
2413,AC Ajaccio,Ligue 1 Uber Eats,FRA,Forward,"168,000",31,245,0,245
2414,AC Ajaccio,Ligue 1 Uber Eats,SUI,Midfilder,"168,000",25,127,0,127
2415,MRT,Primiera Liga,ESP,Forward,"168,000",20,46,0,46
2416,Rio Ave,Primiera Liga,BRA,Defender,"168,000",33,278,0,278
2417,Famalicao,Primiera Liga,VEN,Forward,"168,000",27,212,4,216
2418,AC Ajaccio,Ligue 1 Uber Eats,CIV,Defender,"168,000",25,93,1,94
2419,AC Ajaccio,Ligue 1 Uber Eats,FRA,Forward,"168,000",23,83,0,83
2420,Rennes,Ligue 1 Uber Eats,CMR,Defender,"167,000",20,28,1,29
2421,Juventus,Serie A,ITA,Forward,"166,000",20,33,0,33
2422,MRT,Primiera Liga,POR,Defender,"166,000",21,74,0,74
2423,Salento,Serie A,CZE,Midfilder,"165,000",18,30,0,30
2424,Salernitana,Serie A,ITA,Goalkeeper,"165,000",32,251,0,251
2425,Spezia,Serie A,ITA,Defender,"164,000",25,158,0,158
2426,Sampdoria,Serie A,ITA,Goalkeeper,"164,000",33,322,0,322
2427,Spezia,Serie A,GHA,Forward,"164,000",28,255,3,258
2428,Empoli,Serie A,ITA,Defender,"164,000",21,113,0,113
2429,Salento,Serie A,ITA,Defender,"164,000",32,270,0,270
2430,Lazio,Serie A,LTU,Goalkeeper,"164,000",25,51,0,51
2431,Atalanta,Serie A,ITA,Goalkeeper,"164,000",31,142,0,142
2432,LOSC,Ligue 1 Uber Eats,CMR,Midfilder,"163,000",18,2,0,2
2433,LOSC,Ligue 1 Uber Eats,CMR,Midfilder,"163,000",18,2,0,2
2434,1. FC Koln,Bundesliga,CRO,Defender,"162,000",21,92,0,92
2435,Angers SCO,Ligue 1 Uber Eats,FRA,Midfilder,"162,000",22,79,0,79
2436,Sampdoria,Serie A,ESP,Midfilder,"161,000",20,8,0,8
2437,Almeria,La Liga,ESP,Defender,"161,000",23,128,0,128
2438,Casa Pia,Primiera Liga,BRA,Forward,"160,000",25,97,0,97
2439,Estoril Praia,Primiera Liga,POR,Forward,"160,000",21,53,0,53
2440,Girona,La Liga,ESP,Forward,"160,000",31,432,0,432
2441,Elche,La Liga,ARG,Goalkeeper,"160,000",26,58,0,58
2442,Sampdoria,Serie A,ARG,Defender,"159,000",20,24,0,24
2443,Cremonese,Serie A,ITA,Goalkeeper,"159,000",22,89,0,89
2444,Bologna,Serie A,NGA,Forward,"159,000",24,113,0,113
2445,Salento,Serie A,NOR,Midfilder,"159,000",21,45,1,46
2446,Brest,Ligue 1 Uber Eats,ARG,Goalkeeper,"159,000",21,4,0,4
2447,BVT,Primiera Liga,COL,Midfilder,"158,000",29,206,10,216
2448,BVT,Primiera Liga,POR,Defender,"157,000",24,105,0,105
2449,Famalicao,Primiera Liga,BRA,Goalkeeper,"157,000",21,58,0,58
2450,Rio Ave,Primiera Liga,GRE,Defender,"157,000",33,287,39,326
2451,Estoril Praia,Primiera Liga,CMR,Midfilder,"157,000",26,97,11,108
2452,Benfica,Primiera Liga,POR,Midfilder,"157,000",19,40,0,40
2453,BVT,Primiera Liga,CGO,Midfilder,"157,000",25,147,14,161
2454,Estoril Praia,Primiera Liga,POR,Defender,"157,000",33,363,0,363
2455,PTM,Primiera Liga,COL,Forward,"157,000",28,207,0,207
2456,MRT,Primiera Liga,BRA,Defender,"157,000",28,129,0,129
2457,Famalicao,Primiera Liga,BRA,Midfilder,"157,000",22,75,0,75
2458,Gil Vicente,Primiera Liga,POR,Defender,"157,000",20,60,0,60
2459,Gil Vicente,Primiera Liga,POR,Defender,"157,000",29,259,0,259
2460,Sporting CP,Primiera Liga,POR,Midfilder,"157,000",19,9,0,9
2461,Sampdoria,Serie A,ITA,Forward,"156,000",19,1,0,1
2462,Chelsea,Premier League,ENG,Forward,"156,000",18,0,0,0
2463,Man City,Premier League,ENG,Midfilder,"156,000",18,0,0,0
2464,Arsenal,Premier League,NED,Midfilder,"156,000",19,0,0,0
2465,Tottenham,Premier League,ENG,Defender,"156,000",20,2,0,2
2466,Brentford,Premier League,UKR,Midfilder,"156,000",18,21,0,21
2467,Crystal Palace,Premier League,NIR,Defender,"156,000",21,115,0,115
2468,Tottenham,Premier League,ENG,Midfilder,"156,000",19,0,0,0
2469,Leicester,Premier League,ENG,Forward,"156,000",19,1,0,1
2470,Man City,Premier League,ENG,Midfilder,"156,000",19,3,0,3
2471,Man City,Premier League,POR,Forward,"156,000",18,1,0,1
2472,Aston Villa,Premier League,POL,Goalkeeper,"156,000",18,0,0,0
2473,Leicester,Premier League,RSA,Midfilder,"156,000",22,14,0,14
2474,Man City,Premier League,ENG,Goalkeeper,"156,000",18,0,0,0
2475,Man City,Premier League,ENG,Forward,"156,000",18,0,0,0
2476,Man City,Premier League,ENG,Midfilder,"156,000",18,0,0,0
2477,Wolves,Premier League,ENG,Midfilder,"156,000",18,0,0,0
2478,Man City,Premier League,SCO,Midfilder,"156,000",18,0,0,0
2479,Man City,Premier League,SCO,Forward,"156,000",18,1,0,1
2480,Man City,Premier League,ENG,Defender,"156,000",20,0,0,0
2481,Espanyol,La Liga,ESP,Goalkeeper,"155,000",21,21,0,21
2482,AC Ajaccio,Ligue 1 Uber Eats,FRA,Midfilder,"155,000",24,20,0,20
2483,A. Bilbao,La Liga,ESP,Forward,"153,000",25,224,0,224
2484,Vallecano,La Liga,ESP,Forward,"153,000",23,148,0,148
2485,Famalicao,Primiera Liga,PAN,Midfilder,"150,000",24,94,39,133
2486,Estoril Praia,Primiera Liga,MOZ,Defender,"150,000",33,353,58,411
2487,BVT,Primiera Liga,VEN,Forward,"150,000",25,119,20,139
2488,Getafe,La Liga,ESP,Forward,"150,000",21,55,0,55
2489,Rio Ave,Primiera Liga,BRA,Defender,"150,000",23,102,0,102
2490,Chaves,Primiera Liga,ESP,Forward,"150,000",20,65,0,65
2491,Girona,La Liga,URU,Defender,"149,000",23,114,0,114
2492,Real Hispalis,La Liga,ARG,Midfilder,"148,000",22,93,0,93
2493,Toulouse FC,Ligue 1 Uber Eats,ALG,Midfilder,"147,000",19,6,0,6
2494,Reims,Ligue 1 Uber Eats,SEN,Midfilder,"147,000",20,36,1,37
2495,Reims,Ligue 1 Uber Eats,MLI,Midfilder,"147,000",19,14,0,14
2496,Angers SCO,Ligue 1 Uber Eats,ALG,Midfilder,"147,000",25,83,3,86
2497,SV Werder,Bundesliga,GER,Defender,"147,000",22,91,0,91
2498,Angers SCO,Ligue 1 Uber Eats,FRA,Defender,"147,000",19,38,0,38
2499,Reims,Ligue 1 Uber Eats,FRA,Goalkeeper,"147,000",22,3,0,3
2500,Brianza,Serie A,ITA,Midfilder,"147,000",23,92,0,92
2501,VfL Bochum,Bundesliga,GAM,Defender,"146,000",26,149,6,155
2502,Santa Clara,Primiera Liga,BRA,Midfilder,"146,000",22,18,0,18
2503,Famalicao,Primiera Liga,BRA,Defender,"146,000",23,101,0,101
2504,BRG,Primiera Liga,POR,Goalkeeper,"146,000",27,163,0,163
2505,Toulouse FC,Ligue 1 Uber Eats,NED,Forward,"145,000",21,67,0,67
2506,Mallorca,La Liga,ESP,Goalkeeper,"144,000",22,57,0,57
2507,Arouca,Primiera Liga,POR,Defender,"144,000",27,232,0,232
2508,FC Lorient,Ligue 1 Uber Eats,CMR,Defender,"144,000",21,70,0,70
2509,Spezia,Serie A,LVA,Forward,"143,000",20,106,23,129
2510,P. Ferreira,Primiera Liga,POR,Defender,"143,000",35,341,13,354
2511,Clermont,Ligue 1 Uber Eats,FRA,Goalkeeper,"143,000",24,28,0,28
2512,RB Leipzig,Bundesliga,USA,Forward,"143,000",19,64,0,64
2513,P. Ferreira,Primiera Liga,ESP,Forward,"141,000",23,67,0,67
2514,BVT,Primiera Liga,BRA,Goalkeeper,"141,000",41,354,0,354
2515,Famalicao,Primiera Liga,POR,Defender,"141,000",23,92,0,92
2516,Famalicao,Primiera Liga,ESP,Defender,"141,000",26,142,0,142
2517,Famalicao,Primiera Liga,POR,Forward,"141,000",27,233,0,233
2518,Gil Vicente,Primiera Liga,ESP,Forward,"141,000",24,149,0,149
2519,Benfica,Primiera Liga,POR,Forward,"141,000",20,25,0,25
2520,MRT,Primiera Liga,POR,Midfilder,"141,000",24,135,0,135
2521,Rio Ave,Primiera Liga,BRA,Defender,"141,000",25,88,0,88
2522,Santa Clara,Primiera Liga,ESP,Defender,"141,000",26,136,0,136
2523,Rio Ave,Primiera Liga,POR,Midfilder,"141,000",25,113,0,113
2524,Famalicao,Primiera Liga,POR,Defender,"141,000",32,275,0,275
2525,Chaves,Primiera Liga,POR,Defender,"141,000",21,38,0,38
2526,Gil Vicente,Primiera Liga,ESP,Defender,"141,000",25,131,0,131
2527,Rio Ave,Primiera Liga,POR,Midfilder,"141,000",31,241,0,241
2528,VTSC,Primiera Liga,BRA,Forward,"141,000",24,140,0,140
2529,Estoril Praia,Primiera Liga,POR,Defender,"141,000",21,44,0,44
2530,AC Ajaccio,Ligue 1 Uber Eats,FRA,Defender,"141,000",22,31,0,31
2531,Hoffenheim,Bundesliga,GER,Goalkeeper,"140,000",21,47,0,47
2532,AJ Auxerre,Ligue 1 Uber Eats,FRA,Defender,"140,000",19,18,0,18
2533,Inter,Serie A,ITA,Defender,"140,000",19,1,0,1
2534,Santa Clara,Primiera Liga,BRA,Forward,"139,000",22,36,0,36
2535,Elche,La Liga,ESP,Midfilder,"139,000",25,210,0,210
2536,Vigo,La Liga,SWE,Midfilder,"138,000",18,58,0,58
2537,Atletico Pamplona,La Liga,ESP,Defender,"138,000",23,140,0,140
2538,Getafe,La Liga,ESP,Defender,"138,000",24,154,0,154
2539,Almeria,La Liga,ESP,Defender,"138,000",24,152,0,152
2540,Mallorca,La Liga,ESP,Midfilder,"138,000",24,197,0,197
2541,Getafe,La Liga,ESP,Midfilder,"138,000",23,88,0,88
2542,Vallecano,La Liga,ESP,Defender,"138,000",23,133,0,133
2543,Valencia,La Liga,GEO,Goalkeeper,"138,000",21,80,3,83
2544,Vallecano,La Liga,ESP,Defender,"138,000",23,77,0,77
2545,Girona,La Liga,ESP,Defender,"138,000",19,55,0,55
2546,Cadiz,La Liga,PAR,Defender,"138,000",24,117,21,138
2547,Elche,La Liga,ARG,Defender,"138,000",22,49,0,49
2548,Almeria,La Liga,SRB,Forward,"138,000",19,18,0,18
2549,Real San Sebastian,La Liga,ESP,Goalkeeper,"138,000",25,104,0,104
2550,Angers SCO,Ligue 1 Uber Eats,FRA,Forward,"137,000",22,17,0,17
2551,Famalicao,Primiera Liga,POR,Midfilder,"137,000",32,382,0,382
2552,Sampdoria,Serie A,SVN,Goalkeeper,"136,000",19,10,0,10
2553,Atletico Pamplona,La Liga,ESP,Defender,"136,000",30,258,0,258
2554,Montpellier,Ligue 1 Uber Eats,MLI,Defender,"135,000",27,177,28,205
2555,MRT,Primiera Liga,POR,Defender,"135,000",20,66,0,66
2556,VTSC,Primiera Liga,POR,Forward,"135,000",23,132,0,132
2557,Gil Vicente,Primiera Liga,IRN,Forward,"135,000",26,272,3,275
2558,Eintracht Frankfurt,Bundesliga,ALB,Goalkeeper,"134,000",18,28,0,28
2559,VfL Bochum,Bundesliga,GER,Midfilder,"134,000",21,69,0,69
2560,Cremonese,Serie A,ITA,Defender,"134,000",22,102,0,102
2561,Mallorca,La Liga,ESP,Forward,"134,000",29,323,0,323
2562,Gil Vicente,Primiera Liga,ESP,Midfilder,"134,000",21,58,0,58
2563,AC Ajaccio,Ligue 1 Uber Eats,FRA,Midfilder,"134,000",36,426,0,426
2564,SV Werder,Bundesliga,GER,Goalkeeper,"133,000",27,125,0,125
2565,Girona,La Liga,MLI,Midfilder,"133,000",22,51,0,51
2566,Cremonese,Serie A,ITA,Goalkeeper,"133,000",22,55,0,55
2567,VTSC,Primiera Liga,BRA,Forward,"132,000",27,165,0,165
2568,Famalicao,Primiera Liga,ESP,Midfilder,"132,000",21,102,0,102
2569,P. Ferreira,Primiera Liga,BRA,Midfilder,"132,000",37,348,0,348
2570,BVT,Primiera Liga,BRA,Goalkeeper,"132,000",30,42,0,42
2571,BVT,Primiera Liga,CUW,Forward,"132,000",27,127,10,137
2572,Santa Clara,Primiera Liga,BRA,Forward,"132,000",27,174,0,174
2573,Estoril Praia,Primiera Liga,POR,Defender,"132,000",22,56,0,56
2574,Famalicao,Primiera Liga,POR,Forward,"132,000",32,265,0,265
2575,Liverpool,Premier League,WAL,Defender,"130,000",20,5,0,5
2576,Liverpool,Premier League,ENG,Defender,"130,000",18,0,0,0
2577,Liverpool,Premier League,ENG,Midfilder,"130,000",19,2,0,2
2578,Liverpool,Premier League,ENG,Goalkeeper,"130,000",19,0,0,0
2579,Chelsea,Premier League,ENG,Goalkeeper,"130,000",18,0,0,0
2580,Liverpool,Premier League,ENG,Forward,"130,000",19,13,0,13
2581,Chelsea,Premier League,FIN,Midfilder,"130,000",18,0,0,0
2582,Liverpool,Premier League,ENG,Forward,"130,000",18,0,0,0
2583,Brentford,Premier League,ENG,Forward,"130,000",18,0,0,0
2584,Liverpool,Premier League,ENG,Forward,"130,000",18,0,0,0
2585,Liverpool,Premier League,ENG,Midfilder,"130,000",18,16,0,16
2586,Liverpool,Premier League,FRA,Defender,"130,000",19,9,0,9
2587,Leicester,Premier League,ENG,Forward,"130,000",19,0,0,0
2588,Tottenham,Premier League,ENG,Defender,"130,000",21,0,0,0
2589,Arsenal,Premier League,EST,Goalkeeper,"130,000",20,10,14,24
2590,Everton,Premier League,ENG,Forward,"130,000",21,62,0,62
2591,Chelsea,Premier League,USA,Goalkeeper,"130,000",20,23,0,23
2592,Liverpool,Premier League,ENG,Defender,"130,000",19,0,0,0
2593,Liverpool,Premier League,ENG,Midfilder,"130,000",19,0,0,0
2594,Newcastle,Premier League,PER,Midfilder,"130,000",23,63,0,63
2595,Liverpool,Premier League,USA,Midfilder,"130,000",20,0,0,0
2596,Man UFC,Premier League,FRA,Forward,"130,000",19,0,0,0
2597,Liverpool,Premier League,NGA,Defender,"130,000",21,0,0,0
2598,Fulham,Premier League,BUL,Forward,"130,000",20,38,0,38
2599,Southampton,Premier League,ENG,Defender,"130,000",22,26,0,26
2600,Brentford,Premier League,ENG,Defender,"130,000",19,0,0,0
2601,Brentford,Premier League,ENG,Midfilder,"130,000",19,2,0,2
2602,Valencia,La Liga,ESP,Defender,"130,000",18,9,0,9
2603,Leicester,Premier League,WAL,Midfilder,"130,000",19,0,0,0
2604,Fulham,Premier League,ENG,Goalkeeper,"130,000",20,40,0,40
2605,Chelsea,Premier League,FIN,Goalkeeper,"130,000",20,23,0,23
2606,Newcastle,Premier League,ENG,Defender,"130,000",19,0,0,0
2607,Newcastle,Premier League,ENG,Defender,"130,000",18,0,0,0
2608,Chelsea,Premier League,ENG,Forward,"130,000",19,16,0,16
2609,Liverpool,Premier League,POL,Goalkeeper,"130,000",19,31,0,31
2610,Brentford,Premier League,FRA,Defender,"130,000",20,5,0,5
2611,Chelsea,Premier League,ENG,Defender,"130,000",18,6,0,6
2612,Chelsea,Premier League,MAR,Goalkeeper,"130,000",18,5,0,5
2613,Aston Villa,Premier League,ENG,Defender,"130,000",20,5,0,5
2614,Chelsea,Premier League,ENG,Defender,"130,000",18,0,0,0
2615,Man UFC,Premier League,ENG,Defender,"130,000",19,6,0,6
2616,Wolves,Premier League,POR,Defender,"130,000",19,13,0,13
2617,Montpellier,Ligue 1 Uber Eats,CGO,Forward,"129,000",19,25,10,35
2618,Fiorentina,Serie A,ITA,Goalkeeper,"129,000",23,43,0,43
2619,MRT,Primiera Liga,BRA,Midfilder,"129,000",22,47,0,47
2620,OL,Ligue 1 Uber Eats,FRA,Midfilder,"128,000",18,6,0,6
2621,Valencia,La Liga,URU,Defender,"128,000",19,43,0,43
2622,Famalicao,Primiera Liga,ALB,Defender,"128,000",24,70,8,78
2623,VIZ,Primiera Liga,MLI,Forward,"128,000",25,88,1,89
2624,VIZ,Primiera Liga,POR,Defender,"128,000",26,154,0,154
2625,Estoril Praia,Primiera Liga,FRA,Midfilder,"128,000",24,110,0,110
2626,Salento,Serie A,ITA,Goalkeeper,"128,000",27,145,0,145
2627,Cremonese,Serie A,ITA,Defender,"128,000",25,134,0,134
2628,Angers SCO,Ligue 1 Uber Eats,BIH,Defender,"128,000",23,77,0,77
2629,Brest,Ligue 1 Uber Eats,FRA,Defender,"128,000",20,24,0,24
2630,Angers SCO,Ligue 1 Uber Eats,FRA,Midfilder,"128,000",20,11,0,11
2631,Almeria,La Liga,ESP,Goalkeeper,"127,000",32,404,0,404
2632,AC Ajaccio,Ligue 1 Uber Eats,GLP,Defender,"126,000",35,411,13,424
2633,P. Ferreira,Primiera Liga,BRA,Forward,"125,000",20,26,0,26
2634,Vigo,La Liga,ESP,Defender,"125,000",21,46,0,46
2635,VTSC,Primiera Liga,GHA,Midfilder,"124,000",28,104,0,104
2636,VTSC,Primiera Liga,FRA,Midfilder,"124,000",24,85,0,85
2637,BVT,Primiera Liga,MNE,Midfilder,"124,000",23,92,3,95
2638,Lazio,Serie A,ITA,Midfilder,"124,000",20,1,0,1
2639,VfL Bochum,Bundesliga,GER,Defender,"123,000",25,180,0,180
2640,Rio Ave,Primiera Liga,BRA,Goalkeeper,"123,000",31,123,0,123
2641,Chaves,Primiera Liga,SEN,Midfilder,"123,000",26,143,6,149
2642,MRT,Primiera Liga,POR,Defender,"123,000",21,39,0,39
2643,Benfica,Primiera Liga,POR,Goalkeeper,"123,000",20,12,0,12
2644,Toulouse FC,Ligue 1 Uber Eats,FRA,Defender,"123,000",21,48,0,48
2645,Benfica,Primiera Liga,ALB,Defender,"123,000",20,7,1,8
2646,VTSC,Primiera Liga,ITA,Defender,"123,000",20,40,0,40
2647,PTM,Primiera Liga,MAR,Defender,"123,000",26,122,0,122
2648,Chaves,Primiera Liga,ESP,Forward,"123,000",26,207,0,207
2649,Rio Ave,Primiera Liga,POR,Midfilder,"123,000",34,366,0,366
2650,MRT,Primiera Liga,GEO,Goalkeeper,"123,000",32,204,17,221
2651,Famalicao,Primiera Liga,RUS,Goalkeeper,"123,000",25,73,0,73
2652,Gil Vicente,Primiera Liga,POR,Midfilder,"123,000",34,415,0,415
2653,Gil Vicente,Primiera Liga,RUS,Goalkeeper,"123,000",31,202,2,204
2654,Rio Ave,Primiera Liga,GHA,Forward,"123,000",26,155,7,162
2655,VIZ,Primiera Liga,POR,Defender,"123,000",25,156,0,156
2656,VIZ,Primiera Liga,BRA,Midfilder,"123,000",34,402,0,402
2657,BVT,Primiera Liga,FRA,Defender,"123,000",31,225,0,225
2658,Chaves,Primiera Liga,CPV,Defender,"123,000",27,237,23,260
2659,AC Ajaccio,Ligue 1 Uber Eats,TUN,Forward,"122,000",35,332,6,338
2660,Sampdoria,Serie A,ITA,Midfilder,"120,000",19,3,0,3
2661,Cadiz,La Liga,MLI,Midfilder,"120,000",24,56,0,56
2662,LOSC,Ligue 1 Uber Eats,FRA,Midfilder,"119,000",19,46,0,46
2663,Chaves,Primiera Liga,BRA,Defender,"119,000",27,159,0,159
2664,PTM,Primiera Liga,BRA,Forward,"119,000",29,187,0,187
2665,BVT,Primiera Liga,GAM,Forward,"119,000",28,176,6,182
2666,VTSC,Primiera Liga,POR,Defender,"119,000",25,134,0,134
2667,Toulouse FC,Ligue 1 Uber Eats,NOR,Defender,"116,000",21,98,0,98
2668,Arsenal,Premier League,ENG,Midfilder,"114,000",21,81,0,81
2669,Empoli,Serie A,ITA,Midfilder,"114,000",19,0,0,0
2670,Reims,Ligue 1 Uber Eats,NOR,Forward,"113,000",21,37,0,37
2671,Benfica,Primiera Liga,POR,Defender,"113,000",20,33,0,33
2672,Gil Vicente,Primiera Liga,BRA,Midfilder,"113,000",27,147,0,147
2673,Hoffenheim,Bundesliga,ESP,Goalkeeper,"112,000",19,12,0,12
2674,Sporting CP,Primiera Liga,POR,Defender,"112,000",19,33,0,33
2675,Hertha Berlin,Bundesliga,GER,Forward,"112,000",22,25,0,25
2676,MRT,Primiera Liga,POR,Forward,"112,000",35,353,0,353
2677,Casa Pia,Primiera Liga,JPN,Forward,"112,000",24,158,0,158
2678,PTM,Primiera Liga,BRA,Midfilder,"112,000",28,182,0,182
2679,Gil Vicente,Primiera Liga,POR,Defender,"112,000",24,116,0,116
2680,Salento,Serie A,ALB,Defender,"112,000",30,258,13,271
2681,Casa Pia,Primiera Liga,NGA,Forward,"112,000",26,172,0,172
2682,VTSC,Primiera Liga,JPN,Defender,"112,000",25,186,5,191
2683,Espanyol,La Liga,BRA,Midfilder,"112,000",23,58,0,58
2684,Rio Ave,Primiera Liga,POR,Defender,"112,000",30,260,0,260
2685,Chaves,Primiera Liga,POR,Midfilder,"112,000",28,218,0,218
2686,Famalicao,Primiera Liga,POR,Defender,"112,000",20,34,0,34
2687,Rio Ave,Primiera Liga,GHA,Forward,"112,000",24,111,0,111
2688,BRG,Primiera Liga,ESP,Midfilder,"112,000",23,48,0,48
2689,Famalicao,Primiera Liga,ROU,Midfilder,"112,000",24,91,0,91
2690,Chaves,Primiera Liga,GHA,Midfilder,"112,000",23,95,0,95
2691,Toulouse FC,Ligue 1 Uber Eats,NED,Forward,"112,000",22,56,0,56
2692,MRT,Primiera Liga,BRA,Defender,"112,000",27,125,0,125
2693,MRT,Primiera Liga,BRA,Defender,"112,000",30,233,0,233
2694,MRT,Primiera Liga,POR,Defender,"112,000",31,272,0,272
2695,VIZ,Primiera Liga,BRA,Defender,"112,000",28,140,0,140
2696,Famalicao,Primiera Liga,POR,Midfilder,"112,000",23,60,0,60
2697,Estoril Praia,Primiera Liga,BRA,Defender,"112,000",27,75,0,75
2698,Rio Ave,Primiera Liga,COL,Forward,"112,000",26,162,0,162
2699,AC Ajaccio,Ligue 1 Uber Eats,FRA,Forward,"112,000",31,277,0,277
2700,MRT,Primiera Liga,BRA,Defender,"112,000",28,133,0,133
2701,Hertha Berlin,Bundesliga,GER,Forward,"112,000",19,36,0,36
2702,VIZ,Primiera Liga,MNE,Forward,"112,000",23,106,12,118
2703,Elche,La Liga,ARG,Defender,"111,000",23,84,0,84
2704,Famalicao,Primiera Liga,FRA,Forward,"111,000",19,4,0,4
2705,Sporting CP,Primiera Liga,POR,Forward,"110,000",20,2,0,2
